x-axis,1,2,3
second,Volt,Volt,Volt
-32.300E-03,+2.318750E+00,+2.312500E+00,+2.443250E+00
-32.200E-03,+2.287500E+00,+2.468750E+00,+2.599500E+00
-32.100E-03,+2.256250E+00,+2.531250E+00,+2.568250E+00
-32.000E-03,+2.131250E+00,+2.531250E+00,+2.505750E+00
-31.900E-03,+2.006250E+00,+2.468750E+00,+2.412000E+00
-31.800E-03,+1.850000E+00,+2.312500E+00,+2.224500E+00
-31.700E-03,+1.600000E+00,+2.156250E+00,+2.037000E+00
-31.600E-03,+1.381250E+00,+1.937500E+00,+1.724500E+00
-31.500E-03,+1.131250E+00,+1.625000E+00,+1.474500E+00
-31.400E-03,+912.500E-03,+1.375000E+00,+1.193250E+00
-31.300E-03,+725.000E-03,+1.093750E+00,+943.250E-03
-31.200E-03,+568.750E-03,+812.500E-03,+662.000E-03
-31.100E-03,+475.000E-03,+656.250E-03,+505.750E-03
-31.000E-03,+506.250E-03,+406.250E-03,+380.750E-03
-30.900E-03,+537.500E-03,+343.750E-03,+287.000E-03
-30.800E-03,+631.250E-03,+312.500E-03,+380.750E-03
-30.700E-03,+787.500E-03,+375.000E-03,+474.500E-03
-30.600E-03,+975.000E-03,+500.000E-03,+599.500E-03
-30.500E-03,+1.225000E+00,+718.750E-03,+880.750E-03
-30.400E-03,+1.475000E+00,+968.750E-03,+1.193250E+00
-30.300E-03,+1.725000E+00,+1.218750E+00,+1.443250E+00
-30.200E-03,+1.975000E+00,+1.531250E+00,+1.787000E+00
-30.100E-03,+2.131250E+00,+1.812500E+00,+2.037000E+00
-30.000E-03,+2.287500E+00,+2.093750E+00,+2.255750E+00
-29.900E-03,+2.318750E+00,+2.343750E+00,+2.474500E+00
-29.800E-03,+2.318750E+00,+2.468750E+00,+2.537000E+00
-29.700E-03,+2.318750E+00,+2.562500E+00,+2.630750E+00
-29.600E-03,+2.131250E+00,+2.562500E+00,+2.568250E+00
-29.500E-03,+1.943750E+00,+2.468750E+00,+2.380750E+00
